"subject","video_set","acc"
"01dkf6na","ADFES",0.854166666666667
"01dkf6na","JeFEE",0.270833333333333
"02rvvdck","ADFES",0.791666666666667
"02rvvdck","JeFEE",0.458333333333333
"05vna3n7","ADFES",0.916666666666667
"05vna3n7","JeFEE",0.75
"0dj4xrwz","ADFES",0.770833333333333
"0dj4xrwz","JeFEE",0.541666666666667
"1bky7pq2","ADFES",0.568452380952381
"1bky7pq2","JeFEE",0.3125
"1jesbvms","ADFES",0.833333333333333
"1jesbvms","JeFEE",0.666666666666667
"1jtd23n7","ADFES",0.892857142857143
"1jtd23n7","JeFEE",0.583333333333333
"1m3o7vtx","ADFES",0.729166666666667
"1m3o7vtx","JeFEE",0.5625
"230qxghj","ADFES",0.729166666666667
"230qxghj","JeFEE",0.5
"23un4xk0","ADFES",0.791666666666667
"23un4xk0","JeFEE",0.604166666666667
"2bq4gp56","ADFES",0.958333333333333
"2bq4gp56","JeFEE",0.791666666666667
"2d7emjn8","ADFES",0.916666666666667
"2d7emjn8","JeFEE",0.479166666666667
"3nsxj3yf","ADFES",0.770833333333333
"3nsxj3yf","JeFEE",0.4375
"473syksy","ADFES",0.8125
"473syksy","JeFEE",0.541666666666667
"4ho7pfhd","ADFES",0.9375
"4ho7pfhd","JeFEE",0.729166666666667
"4ovd9i0b","ADFES",0.708333333333333
"4ovd9i0b","JeFEE",0.229166666666667
"4ovdiwho","ADFES",0.916666666666667
"4ovdiwho","JeFEE",0.604166666666667
"60jre6xi","ADFES",0.8125
"60jre6xi","JeFEE",0.583333333333333
"63q8b4gk","ADFES",0.916666666666667
"63q8b4gk","JeFEE",0.708333333333333
"79o97uw1","ADFES",0.895833333333333
"79o97uw1","JeFEE",0.4375
"7lgboipc","ADFES",0.625
"7lgboipc","JeFEE",0.375
"8jun19d5","ADFES",0.75
"8jun19d5","JeFEE",0.5625
"8u9fcv0x","ADFES",0.770833333333333
"8u9fcv0x","JeFEE",0.5625
"8um8sps9","ADFES",0.830357142857143
"8um8sps9","JeFEE",0.708333333333333
"8y0jbvqm","ADFES",0.875
"8y0jbvqm","JeFEE",0.770833333333333
"8zijzjdb","ADFES",0.666666666666667
"8zijzjdb","JeFEE",0.458333333333333
"92n34v9a","ADFES",0.729166666666667
"92n34v9a","JeFEE",0.729166666666667
"92pvi1pq","ADFES",0.854166666666667
"92pvi1pq","JeFEE",0.6875
"951c6gi6","ADFES",0.75
"951c6gi6","JeFEE",0.375
"988oxs17","ADFES",0.875
"988oxs17","JeFEE",0.625
"9p4umq2j","ADFES",0.6875
"9p4umq2j","JeFEE",0.479166666666667
"9wp4tjla","ADFES",0.875
"9wp4tjla","JeFEE",0.6875
"9yltrizp","ADFES",0.833333333333333
"9yltrizp","JeFEE",0.666666666666667
"aaal34oe","ADFES",0.875
"aaal34oe","JeFEE",0.473214285714286
"aqsvfz9l","ADFES",0.916666666666667
"aqsvfz9l","JeFEE",0.764880952380952
"avr4ulis","ADFES",0.791666666666667
"avr4ulis","JeFEE",0.145833333333333
"b3e2ff37","ADFES",0.875
"b3e2ff37","JeFEE",0.708333333333333
"bd1hytn7","ADFES",0.666666666666667
"bd1hytn7","JeFEE",0.375
"bs077ax2","ADFES",0.729166666666667
"bs077ax2","JeFEE",0.458333333333333
"bywpsp3z","ADFES",0.889880952380952
"bywpsp3z","JeFEE",0.604166666666667
"ceeg9oyy","ADFES",0.895833333333333
"ceeg9oyy","JeFEE",0.729166666666667
"cru2t1ba","ADFES",0.770833333333333
"cru2t1ba","JeFEE",0.553571428571429
"cwu5v0z3","ADFES",0.833333333333333
"cwu5v0z3","JeFEE",0.520833333333333
"cyr153x5","ADFES",0.833333333333333
"cyr153x5","JeFEE",0.458333333333333
"d86bycx0","ADFES",0.666666666666667
"d86bycx0","JeFEE",0.598214285714286
"ddhzvuk9","ADFES",0.854166666666667
"ddhzvuk9","JeFEE",0.645833333333333
"de5z1n9p","ADFES",0.895833333333333
"de5z1n9p","JeFEE",0.6875
"eegrig2e","ADFES",0.791666666666667
"eegrig2e","JeFEE",0.5625
"eu8fkf5c","ADFES",0.875
"eu8fkf5c","JeFEE",0.729166666666667
"f0l877j4","ADFES",0.851190476190476
"f0l877j4","JeFEE",0.5
"f3amrgcj","ADFES",0.875
"f3amrgcj","JeFEE",0.339285714285714
"f71rfhei","ADFES",0.892857142857143
"f71rfhei","JeFEE",0.705357142857143
"fexy1r4z","ADFES",0.515873015873016
"fexy1r4z","JeFEE",0.232142857142857
"fkrn6z2h","ADFES",0.875
"fkrn6z2h","JeFEE",0.479166666666667
"fmjv8ry8","ADFES",0.708333333333333
"fmjv8ry8","JeFEE",0.5
"frd19iku","ADFES",0.8125
"frd19iku","JeFEE",0.5
"g7790rx3","ADFES",0.916666666666667
"g7790rx3","JeFEE",0.5625
"gexhmc79","ADFES",0.770833333333333
"gexhmc79","JeFEE",0.458333333333333
"hdq8xswj","ADFES",0.708333333333333
"hdq8xswj","JeFEE",0.458333333333333
"hnn1eyik","ADFES",0.9375
"hnn1eyik","JeFEE",0.6875
"hpndbzh9","ADFES",0.666666666666667
"hpndbzh9","JeFEE",0.291666666666667
"hq365287","ADFES",0.645833333333333
"hq365287","JeFEE",0.276785714285714
"hwvdllev","ADFES",0.8125
"hwvdllev","JeFEE",0.3125
"i6jntqic","ADFES",0.770833333333333
"i6jntqic","JeFEE",0.479166666666667
"ig6tayxh","ADFES",0.895833333333333
"ig6tayxh","JeFEE",0.583333333333333
"ii08kyt7","ADFES",0.770833333333333
"ii08kyt7","JeFEE",0.645833333333333
"iisgv5ob","ADFES",0.848214285714286
"iisgv5ob","JeFEE",0.770833333333333
"ix2h2wzp","ADFES",0.875
"ix2h2wzp","JeFEE",0.458333333333333
"j126wcyc","ADFES",0.8125
"j126wcyc","JeFEE",0.5
"j29qyzxg","ADFES",0.729166666666667
"j29qyzxg","JeFEE",0.729166666666667
"je3rjmi2","ADFES",0.854166666666667
"je3rjmi2","JeFEE",0.6875
"ji2rd390","ADFES",0.770833333333333
"ji2rd390","JeFEE",0.666666666666667
"jktqr01i","ADFES",0.583333333333333
"jktqr01i","JeFEE",0.604166666666667
"jv3dj12y","ADFES",0.854166666666667
"jv3dj12y","JeFEE",0.541666666666667
"l35gju5h","ADFES",0.9375
"l35gju5h","JeFEE",0.422619047619048
"lhe9lp4f","ADFES",0.895833333333333
"lhe9lp4f","JeFEE",0.520833333333333
"mb9ge3oi","ADFES",0.708333333333333
"mb9ge3oi","JeFEE",0.360119047619048
"mcv912fz","ADFES",0.791666666666667
"mcv912fz","JeFEE",0.547619047619048
"mh056tf9","ADFES",0.875
"mh056tf9","JeFEE",0.625
"mpy5eqe2","ADFES",0.854166666666667
"mpy5eqe2","JeFEE",0.729166666666667
"mvxomygc","ADFES",0.979166666666667
"mvxomygc","JeFEE",0.833333333333333
"mylb0v9w","ADFES",0.770833333333333
"mylb0v9w","JeFEE",0.443452380952381
"n5dsmkhd","ADFES",0.854166666666667
"n5dsmkhd","JeFEE",0.541666666666667
"n7yv68im","ADFES",0.87202380952381
"n7yv68im","JeFEE",0.401785714285714
"nkcfvk3e","ADFES",0.833333333333333
"nkcfvk3e","JeFEE",0.583333333333333
"o2z7pip6","ADFES",0.729166666666667
"o2z7pip6","JeFEE",0.708333333333333
"orbkyveq","ADFES",0.979166666666667
"orbkyveq","JeFEE",0.541666666666667
"ot2a67oz","ADFES",0.958333333333333
"ot2a67oz","JeFEE",0.375
"pazaw89c","ADFES",0.770833333333333
"pazaw89c","JeFEE",0.636904761904762
"q22rvuoa","ADFES",0.916666666666667
"q22rvuoa","JeFEE",0.604166666666667
"qacnye5g","ADFES",0.916666666666667
"qacnye5g","JeFEE",0.541666666666667
"r362zfk9","ADFES",0.791666666666667
"r362zfk9","JeFEE",0.407738095238095
"s0nlid8m","ADFES",0.833333333333333
"s0nlid8m","JeFEE",0.44047619047619
"sm064jgm","ADFES",0.708333333333333
"sm064jgm","JeFEE",0.645833333333333
"so42f37a","ADFES",0.791666666666667
"so42f37a","JeFEE",0.520833333333333
"t10d4kgz","ADFES",0.9375
"t10d4kgz","JeFEE",0.645833333333333
"t1vpm2x9","ADFES",0.854166666666667
"t1vpm2x9","JeFEE",0.535714285714286
"tdi70eu6","ADFES",0.875
"tdi70eu6","JeFEE",0.458333333333333
"tebmtd92","ADFES",0.729166666666667
"tebmtd92","JeFEE",0.520833333333333
"tie104rp","ADFES",0.916666666666667
"tie104rp","JeFEE",0.6875
"to4qz7t0","ADFES",0.9375
"to4qz7t0","JeFEE",0.5
"tvhruw8t","ADFES",0.791666666666667
"tvhruw8t","JeFEE",0.604166666666667
"ug4upoq8","ADFES",0.9375
"ug4upoq8","JeFEE",0.675595238095238
"upk4mqeg","ADFES",0.9375
"upk4mqeg","JeFEE",0.75
"utiwr12j","ADFES",0.803571428571429
"utiwr12j","JeFEE",0.520833333333333
"v68f7op5","ADFES",0.9375
"v68f7op5","JeFEE",0.491071428571429
"vvbrppbq","ADFES",0.833333333333333
"vvbrppbq","JeFEE",0.5625
"wtxckmxu","ADFES",0.729166666666667
"wtxckmxu","JeFEE",0.416666666666667
"xj11h22r","ADFES",0.6875
"xj11h22r","JeFEE",0.395833333333333
"y87qkks4","ADFES",0.770833333333333
"y87qkks4","JeFEE",0.479166666666667
"ygrth0br","ADFES",0.770833333333333
"ygrth0br","JeFEE",0.354166666666667
"yr9r7swn","ADFES",0.916666666666667
"yr9r7swn","JeFEE",0.645833333333333
"yybqcvmn","ADFES",0.9375
"yybqcvmn","JeFEE",0.708333333333333
"z0ymvwd9","ADFES",0.833333333333333
"z0ymvwd9","JeFEE",0.553571428571429
"z8oj5iji","ADFES",0.770833333333333
"z8oj5iji","JeFEE",0.645833333333333
"zemiizcq","ADFES",0.875
"zemiizcq","JeFEE",0.708333333333333
"zzoz9ll0","ADFES",0.895833333333333
"zzoz9ll0","JeFEE",0.666666666666667
